chembl_id,ic50_nm,units,relation,smiles,mw,logp
CHEMBL1082448,128.82,nM,=,CC[C@H](Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1Br)C(=O)O,620.3370000000002,9.124600000000003
CHEMBL25189,23.0,nM,=,CCCCCCC(Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1Br)C(=O)O,676.4450000000003,10.684999999999992
CHEMBL312923,700.0,nM,=,CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(CC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](CCC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21)C(N)=O,730.7710000000001,2.827500000000004
CHEMBL24524,34.0,nM,=,Cc1cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc(C)c1OS(=O)(=O)c1ccc(C(=O)O)c(O)c1,604.6800000000003,8.145940000000008
CHEMBL1083271,120.0,nM,=,O=C(O)[C@@H](Cc1ccccc1)Oc1ccc(-c2ccc(-c3c(Cc4ccc(F)cc4)sc4ccccc34)cc2)cc1,558.6740000000003,9.0399
CHEMBL370307,120.0,nM,=,COc1ccc(Cc2sc3ccccc3c2-c2ccc(-c3ccc(O[C@H](Cc4ccccc4)C(=O)O)cc3)cc2)cc1OC,600.7360000000002,8.918000000000003
CHEMBL24098,912.01,nM,=,O=C(O)CCC(=O)Nc1cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)ccc1O,491.5430000000001,6.8665000000000065
CHEMBL23998,39.0,nM,=,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)cc2)cc1O,576.6260000000003,7.529100000000008
CHEMBL279242,440.0,nM,=,CCCCc1oc2ccccc2c1-c1ccc(-c2ccc(OC(Cc3ccccc3)C(=O)O)cc2)cc1,490.5990000000002,8.184100000000006
CHEMBL280198,140.0,nM,=,O=C(O)CCNc1cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)ccc1OCCc1ccccc1,567.6850000000003,8.8657
CHEMBL24557,510.0,nM,=,CCCCc1oc2ccccc2c1Cc1ccc(-c2ccc(OCn3cnnn3)cc2)cc1,438.5310000000001,6.056200000000006
CHEMBL278096,480.0,nM,=,CCCCc1oc2ccccc2c1C(O)c1ccc2c(Br)c(O)ccc2c1,425.32200000000006,6.478400000000006
CHEMBL280992,360.0,nM,=,O=C(O)c1ccc(COc2ccc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)cc2)cc1,510.58900000000017,8.634800000000002
CHEMBL1082298,52.0,nM,=,O=C(O)[C@@H](Cc1ccccc1)Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1-c1ccc(Cl)cc1,651.2270000000002,11.221199999999985
CHEMBL25584,169.82,nM,=,O=C(O)CCCOc1ccc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,557.5090000000001,8.8322
CHEMBL284363,158.49,nM,=,O=C(O)c1ccccc1C(=O)Nc1cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)ccc1O,539.5870000000003,8.013700000000005
